STATE,LATITUDE,LONGITUDE,SUM(FIRE_SIZER),STAT_CAUSE_DESC,count(STAT_CAUSE_DESCR)
DC,38.88669,-76.9451,32.50000000000003,Miscellaneous,66
DE,39.25,-75.41666667,4833.65000000002,Arson,171
VT,43.34527778,-72.95333333,1556.485999999999,Arson,456
RI,41.61892,-71.49163,562.4100000000032,Campfire,480
IN,39.03166667,-86.175,17322.890000000174,Arson,2098
IL,37.26222222,-88.63,22807.51500000001,Campfire,2327
NH,44.08333333,-71.45,3862.0070000000287,Miscellaneous,2452
MA,41.9048,-69.9789,6124.730000000094,Arson,2626
OH,38.70666667,-82.66972222,23933.85499999989,Equipment Use,3479
MD,38.68277,-77.09828,67279.52999999812,Miscellaneous,3622
IA,42.1167,-96.367,71491.96359999999,Debris Burning,4134
CT,41.9233,-73.35331,11243.310000000673,Miscellaneous,4976
KS,37.08805556,-101.63694444,922613.8010000202,Smoking,7673
NE,42.98361111,-104.02555556,967398.7578999742,Lightning,7973
PA,41.41555556,-78.90722222,54730.765528998614,Equipment Use,8712
HI,20.7617,-156.2453,252761.00000002302,Miscellaneous,9895
MI,43.57111111,-85.97916667,140229.43400000763,Debris Burning,10502
AK,60.05333333,-149.44,32233094.242207766,Campfire,12843
ME,44.36805556,-70.8125,24555.63999999797,Debris Burning,13150
WY,42.35472222,-105.50555556,2401470.684200223,Lightning,14166
ND,46.45,-97.39444444,412607.2299999911,Railroad,15201
NV,38.17916667,-118.71166667,9015855.33999847,Lightning,16956
MO,37.65,-90.80083333,459525.7410000019,Arson,17953
VA,38.55777778,-79.07166667,341645.81999002025,Arson,21833
WV,38.34166667,-79.9625,576631.0499999546,Debris Burning,21967
PR,18,-67.1,138688.42000000013,Arson,22081
NJ,40.764942,-74.535317,131963.53600000008,Smoking,25949
KY,36.625,-84.20194444,1014890.7849959958,Arson,27089
LA,30.95388889,-93.07166667,661023.9129769698,Arson,30013
UT,40.08888889,-111.37833333,4114926.35901079,Lightning,30725
SD,44.01277778,-103.3825,1570865.6003201606,Campfire,30963
TN,36.46638889,-82.01,486652.4000099769,Arson,31154
AR,34.65472222,-94.28638889,508911.83000999247,Miscellaneous,31663
WI,46.58777778,-91.08027778,88675.26605700521,Miscellaneous,31861
WA,46.22083333,-117.785,4782218.310000396,Lightning,33513
CO,39.29222222,-105.18305556,1842309.0900004492,Lightning,34157
ID,44.48861111,-111.25611111,13684334.920997536,Miscellaneous,36698
NM,33.44083333,-105.72055556,6380041.761009508,Lightning,37478
MT,48.92194444,-115.0925,6279526.1201784955,Debris Burning,40767
OK,35.59583333,-100.01305556,3232490.3100001584,Miscellaneous,43239
MN,48.05944444,-90.3375,1210605.4200100556,Campfire,44769
OR,43.99555556,-121.41416667,8412801.369994674,Campfire,61088
AL,34.10944444,-87.375,920545.2549998926,Arson,66570
AZ,35.23638889,-112.21638889,5576680.933988312,Campfire,71586
MS,31.06833333,-89.09916667,1135483.7999998746,Arson,79230
NY,42.53333333,-76.73333333,93771.97281605599,Smoking,80870
SC,34.41916667,-81.57805556,541666.1449799276,Miscellaneous,81315
FL,29.18805556,-81.88861111,4436748.159851256,Miscellaneous,90261
NC,35.22833333,-82.88444444,730521.4600095095,Equipment Use,111277
TX,33.78611111,-96.15,9786218.309977071,Arson,142021
GA,34.89555556,-84.67583333,1589959.1800603443,Arson,168867
CA,40.03694444,-121.00583333,12745858.571977945,Miscellaneous,189550
